scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact
SC1854,Rural,Concrete,Mist,Night_Streetlights,2.82,17,13,128,130.5,Severe,17.51,0.51,0.3833526332314663,4.19,-12.81,0.46,0.54,0.4290481453518004,16.87,-0.13,11.59,0.5945205479701944,0.3,0.38201678633676617,6.398,0.389,10.415,0.984,Flooded Pothole,0.95,True
SC1855,Rural,Asphalt,Clear,Dusk,5.06,20,19,49,46.75,Extreme,20.75,0.75,0.32471740434530355,20.15,0.15,0.58,0.42,0.3142706983829974,19.65,-0.35,8.74,0.4676664270099092,0.3,0.12972695746125013,1.561,3.082,9.404,0.981,Flooded Pothole,0.95,True
SC1856,Urban,Gravel,Foggy,Dawn,10.92,11,1,178,174.76,Low,11.27,0.27,0.6507589381825645,10.92,-0.08,0.22,0.78,0.42381367787810986,11.03,0.03,30.14,0.9607894391523232,0.105,0.9862944838173296,2.386,1.203,10.23,0.946,Shallow Puddle,0.9,True
SC1857,Urban,Mud,Mist,Dusk,2.47,6,4,83,76.86,Low,5.99,-0.01,0.655094355187665,2.06,-3.94,0.28,0.72,0.6259379294871402,6.37,0.37,23.91,0.8521437889662113,0.145,0.9484039915168554,0.883,-0.626,9.683,0.977,Flooded Pothole,0.95,True
SC1858,Rural,Gravel,Cloudy,Dusk,9.39,6,6,161,171.2,Moderate,7.28,1.28,0.5097066065887571,5.99,-0.01,0.32,0.68,0.5794577764970238,5.94,-0.06,21.76,0.7866278610665535,0.204,0.9203103071104806,2.61,2.186,9.542,0.958,Flooded Pothole,0.95,True
SC1859,Urban,Mud,Foggy,Dusk,6.57,6,1,125,124.66,Low,5.61,-0.39,0.7050715443297181,5.99,-0.01,0.22,0.78,0.42381367787810986,6.2,0.2,27.88,0.9607894391523232,0.095,0.9862243754300561,1.255,1.422,10.088,0.952,Shallow Puddle,0.9,True
SC1860,Urban,Concrete,Mist,Dusk,4.07,7,3,143,141.8,Moderate,6.51,-0.49,0.6207170108657576,4.11,-2.89,0.26,0.74,0.6497906188812154,7.04,0.04,26.5,0.8869204367171575,0.138,0.9617792310531333,0.555,-0.93,9.604,0.982,Flooded Pothole,0.95,True
SC1861,Urban,Mud,Clear,Night_Streetlights,11.24,11,11,14,12.92,Moderate,11.28,0.28,0.5113648251360965,11.08,0.08,0.42,0.58,0.4701388626627085,10.99,-0.01,17.27,0.6440364210831414,0.273,0.8137485353917655,0.984,1.016,9.996,0.948,Flooded Pothole,0.95,True
SC1862,Urban,Asphalt,Mist,Dusk,4.28,10,6,185,186.07,Moderate,10.86,0.86,0.49772279175649253,10.1,0.1,0.32,0.68,0.5794577764970238,10.04,0.04,25.08,0.7866278610665535,0.207,0.9259112933403136,1.707,0.963,9.324,0.982,Flooded Pothole,0.95,True
SC1863,Urban,Dirt,Cloudy,Daylight,10.82,12,9,116,118.1,Moderate,13.0,1.0,0.47761037210585305,12.09,0.09,0.38,0.62,0.5127146630448847,12.2,0.2,19.4,0.697676326071031,0.254,0.8720767892292942,1.183,-1.221,9.344,0.949,Flooded Pothole,0.95,True
SC1864,Rural,Dirt,Cloudy,Dusk,10.24,18,0,156,155.74,Moderate,18.1,0.1,0.7052633498741473,17.95,-0.05,0.0,1.0,1.0,18.03,0.03,29.11,1.0,0.081,0.9985279154849391,4.611,4.249,10.983,0.923,Dry,0.98,False
SC1865,Rural,Dirt,Thunderstorm,Daylight,2.1,20,8,403,409.37,Extreme,20.25,0.25,0.3150600573737904,19.94,-0.06,0.36,0.64,0.5345729353032141,19.76,-0.24,20.8,0.7261490370736909,0.292,0.8927623478810495,-0.691,2.059,9.436,0.976,Flooded Pothole,0.95,True
SC1866,Urban,Dirt,Mist,Night_Streetlights,8.38,9,3,89,89.94,Low,9.35,0.35,0.6744187973373662,8.85,-0.15,0.26,0.74,0.6497906188812154,8.76,-0.24,27.34,0.8869204367171575,0.128,0.9621832714763457,3.126,-0.247,9.532,0.951,Flooded Pothole,0.95,True
SC1867,Urban,Asphalt,Thunderstorm,Night_Streetlights,5.27,7,2,387,394.42,Moderate,6.55,-0.45,0.4355820919475244,7.24,0.24,0.24,0.76,0.6740595319050396,7.06,0.06,27.59,0.9231163463866358,0.169,0.9731351820063744,-1.469,1.96,9.237,0.978,Shallow Puddle,0.9,True
SC1868,Rural,Gravel,Drizzle,Night_Dark,3.08,14,4,146,144.01,Moderate,13.65,-0.35,0.5883601609347181,10.3,-3.7,0.28,0.72,0.6259379294871402,14.15,0.15,26.69,0.8521437889662113,0.159,0.9500094158941044,6.93,0.572,9.824,0.973,Flooded Pothole,0.95,True
SC1869,Rural,Asphalt,Thunderstorm,Daylight,3.27,7,7,301,291.59,Moderate,6.35,-0.65,0.3998987055775278,0.0,-7.0,0.34,0.66,0.5568187789536133,7.07,0.07,22.33,0.7557837414557255,0.248,0.9102539466699681,0.904,-0.555,9.732,0.985,Flooded Pothole,0.95,True
SC1870,Rural,Asphalt,Rainy,Dawn,10.33,8,3,129,127.49,Moderate,9.21,1.21,0.6350928946509511,7.97,-0.03,0.26,0.74,0.6497906188812154,7.96,-0.04,25.2,0.8869204367171575,0.135,0.9612058615597263,2.815,1.904,10.416,0.967,Shallow Puddle,0.9,True
SC1871,Urban,Concrete,Thunderstorm,Dawn,5.71,12,6,407,407.62,Severe,12.74,0.74,0.34917152565281395,6.36,-5.64,0.32,0.68,0.5794577764970238,11.64,-0.36,22.43,0.7866278610665535,0.252,0.9214243877616167,-1.233,2.187,9.405,0.98,Flooded Pothole,0.95,True
SC1872,Rural,Concrete,Foggy,Dawn,2.44,11,3,181,183.23,Moderate,11.47,0.47,0.5809050271208548,11.0,0.0,0.26,0.74,0.6497906188812154,11.09,0.09,25.19,0.8869204367171575,0.147,0.9609938017566743,2.462,-0.869,9.352,0.982,Flooded Pothole,0.95,True
SC1873,Urban,Asphalt,Drizzle,Dusk,4.01,10,5,198,205.79,Moderate,10.77,0.77,0.5069899997218398,4.6,-5.4,0.3,0.7,0.6024955834975404,9.79,-0.21,22.43,0.8187307530779818,0.191,0.9336539023101547,-0.584,1.224,9.787,0.982,Flooded Pothole,0.95,True
SC1874,Rural,Asphalt,Rainy,Daylight,4.25,14,8,136,139.39,Moderate,13.7,-0.3,0.4852825404677665,13.95,-0.05,0.36,0.64,0.5345729353032141,14.09,0.09,20.3,0.7261490370736909,0.238,0.890673172680308,5.885,1.983,9.725,0.98,Flooded Pothole,0.95,True
SC1875,Rural,Concrete,Mist,Night_Streetlights,10.43,5,3,88,89.29,Low,4.82,-0.18,0.6751205577387538,2.18,-2.82,0.26,0.74,0.6497906188812154,4.91,-0.09,25.91,0.8869204367171575,0.128,0.9617149077856543,1.388,0.36,9.662,0.971,Shallow Puddle,0.9,True
SC1876,Rural,Mud,Foggy,Daylight,2.57,9,8,181,182.19,Moderate,9.4,0.4,0.4531627257551067,1.01,-7.99,0.36,0.64,0.5345729353032141,8.84,-0.16,19.95,0.7261490370736909,0.246,0.887896475591515,3.344,0.916,10.183,0.976,Flooded Pothole,0.95,True
SC1877,Rural,Asphalt,Foggy,Night_Dark,9.24,5,4,143,143.01,Moderate,4.65,-0.35,0.5893022906950343,4.93,-0.07,0.28,0.72,0.6259379294871402,5.07,0.07,23.28,0.8521437889662113,0.159,0.9472574635597436,0.538,-0.207,9.63,0.973,Flooded Pothole,0.95,True
SC1878,Rural,Gravel,Clear,Daylight,5.81,8,3,0,5.78,Low,8.58,0.58,0.7716316346671284,7.81,-0.19,0.26,0.74,0.6497906188812154,8.18,0.18,26.18,0.8869204367171575,0.111,0.9621150386273969,3.328,0.946,10.303,0.962,Shallow Puddle,0.9,True
SC1879,Urban,Mud,Thunderstorm,Night_Streetlights,8.28,8,3,445,447.09,Moderate,7.87,-0.13,0.3808521640580563,5.28,-2.72,0.26,0.74,0.6497906188812154,8.09,0.09,25.18,0.8869204367171575,0.199,0.9600652496512543,1.904,-0.262,9.647,0.947,Shallow Puddle,0.9,True
SC1880,Urban,Mud,Clear,Night_Streetlights,8.16,17,9,87,81.17,Moderate,16.7,-0.3,0.506681843490996,17.03,0.03,0.38,0.62,0.5127146630448847,17.62,0.62,19.02,0.697676326071031,0.246,0.8678349856208504,5.895,5.05,10.092,0.951,Flooded Pothole,0.95,True
SC1881,Urban,Dirt,Mist,Night_Streetlights,6.55,13,5,161,155.22,Moderate,12.96,-0.04,0.549716823339733,13.17,0.17,0.3,0.7,0.6024955834975404,12.91,-0.09,24.22,0.8187307530779818,0.181,0.9368232528988746,4.106,2.963,9.671,0.96,Flooded Pothole,0.95,True
SC1882,Rural,Concrete,Foggy,Dusk,8.37,12,2,173,167.62,Moderate,12.31,0.31,0.62613329452338,11.93,-0.07,0.24,0.76,0.6740595319050396,12.16,0.16,28.76,0.9231163463866358,0.124,0.9740982265454783,5.723,1.753,10.332,0.97,Shallow Puddle,0.9,True
SC1883,Rural,Concrete,Drizzle,Daylight,10.05,16,0,190,187.52,Moderate,15.95,-0.05,0.6702985961373663,15.92,-0.08,0.0,1.0,1.0,15.8,-0.2,28.71,1.0,0.088,0.998368705181933,0.766,-0.096,8.854,0.965,Dry,0.98,False
SC1884,Urban,Concrete,Rainy,Night_Streetlights,10.4,12,6,152,152.99,Moderate,12.45,0.45,0.5247758814558969,12.02,0.02,0.32,0.68,0.5794577764970238,11.94,-0.06,24.2,0.7866278610665535,0.201,0.9252796298103919,0.109,3.935,9.61,0.974,Flooded Pothole,0.95,True
SC1885,Urban,Gravel,Rainy,Night_Streetlights,6.52,18,14,307,307.32,Extreme,19.02,1.02,0.2747999226806183,3.47,-14.53,0.48,0.52,0.40904648775460783,17.26,-0.74,11.06,0.5712090638488149,0.3,0.3233859404742221,4.814,3.442,9.847,0.97,Flooded Pothole,0.95,True
SC1886,Rural,Dirt,Drizzle,Dusk,9.23,15,12,114,112.94,Severe,15.25,0.25,0.414491007274165,3.48,-11.52,0.44,0.56,0.449410526858988,15.1,0.1,15.85,0.6187833918061408,0.3,0.7515866354647693,6.289,4.779,9.337,0.946,Flooded Pothole,0.95,True
SC1887,Urban,Concrete,Cloudy,Daylight,11.0,11,11,143,147.18,Severe,11.6,0.6,0.41251281789719857,0.0,-11.0,0.42,0.58,0.4701388626627085,11.26,0.26,15.14,0.6440364210831414,0.299,0.7215294296692804,3.48,2.464,9.68,0.978,Flooded Pothole,0.95,True
SC1888,Rural,Mud,Drizzle,Dusk,6.7,11,6,116,117.62,Moderate,10.61,-0.39,0.5553304150218287,5.06,-5.94,0.32,0.68,0.5794577764970238,11.04,0.04,25.31,0.7866278610665535,0.194,0.9262852660091826,3.336,3.475,10.132,0.949,Flooded Pothole,0.95,True
SC1889,Rural,Mud,Drizzle,Night_Dark,4.17,18,1,131,123.18,Moderate,17.9,-0.1,0.7067431321255327,18.12,0.12,0.22,0.78,0.42381367787810986,18.05,0.05,29.07,0.9607894391523232,0.095,0.9863818803366328,6.276,0.218,10.087,0.957,Shallow Puddle,0.9,True
SC1890,Urban,Mud,Mist,Night_Streetlights,6.43,18,5,200,195.22,Moderate,17.98,-0.02,0.5156371286188204,18.19,0.19,0.3,0.7,0.6024955834975404,18.45,0.45,23.83,0.8187307530779818,0.189,0.9362364928004365,0.853,3.852,9.452,0.955,Flooded Pothole,0.95,True
SC1891,Rural,Concrete,Foggy,Daylight,9.69,13,11,244,238.08,Severe,14.02,1.02,0.3566758117865393,13.08,0.08,0.42,0.58,0.4701388626627085,13.84,0.84,18.03,0.6440364210831414,0.3,0.8308710936166553,-1.458,3.188,9.169,0.975,Flooded Pothole,0.95,True
SC1892,Urban,Dirt,Cloudy,Night_Streetlights,10.68,15,14,112,105.44,Severe,15.54,0.54,0.3795746482153236,1.29,-13.71,0.48,0.52,0.40904648775460783,14.46,-0.54,12.89,0.5712090638488149,0.3,0.5124263333269646,3.885,1.465,9.221,0.953,Flooded Pothole,0.95,True
SC1893,Rural,Concrete,Drizzle,Night_Dark,9.87,6,5,104,101.18,Moderate,5.98,-0.02,0.5993629127327007,1.12,-4.88,0.3,0.7,0.6024955834975404,6.19,0.19,23.8,0.8187307530779818,0.17,0.9365291251083326,-0.625,0.965,10.173,0.974,Flooded Pothole,0.95,True
SC1894,Urban,Asphalt,Clear,Dawn,11.32,15,2,40,41.03,Low,15.21,0.21,0.766708961561908,15.0,0.0,0.24,0.76,0.6740595319050396,14.86,-0.14,29.26,0.9231163463866358,0.098,0.9745838846327342,0.424,4.913,8.976,0.967,Shallow Puddle,0.9,True
SC1895,Urban,Gravel,Mist,Daylight,2.66,11,4,187,188.48,Moderate,11.43,0.43,0.5479517737568764,10.88,-0.12,0.28,0.72,0.6259379294871402,10.92,-0.08,24.94,0.8521437889662113,0.168,0.9489964443633923,1.014,2.181,9.09,0.978,Flooded Pothole,0.95,True
SC1896,Rural,Mud,Foggy,Night_Streetlights,4.9,20,10,144,136.33,Severe,19.49,-0.51,0.4412569147658353,9.82,-10.18,0.4,0.6,0.49123845184678905,20.42,0.42,16.47,0.6703200460356393,0.277,0.7972646958800437,8.517,6.958,9.417,0.958,Flooded Pothole,0.95,True
SC1897,Urban,Asphalt,Cloudy,Daylight,3.58,18,3,154,149.93,Moderate,18.02,0.02,0.612695012183101,17.95,-0.05,0.26,0.74,0.6497906188812154,18.35,0.35,27.98,0.8869204367171575,0.14,0.9621020455502597,-0.926,0.558,10.247,0.98,Shallow Puddle,0.9,True
SC1898,Rural,Mud,Mist,Dusk,11.45,12,1,164,169.12,Low,12.58,0.58,0.6566579632106379,10.7,-1.3,0.22,0.78,0.42381367787810986,11.82,-0.18,27.14,0.9607894391523232,0.104,0.9859164012977545,8.595,0.857,9.937,0.908,Shallow Puddle,0.9,True
SC1899,Urban,Dirt,Thunderstorm,Dawn,5.79,9,6,371,377.67,Severe,8.91,-0.09,0.3663112123205952,8.81,-0.19,0.32,0.68,0.5794577764970238,8.9,-0.1,22.44,0.7866278610665535,0.246,0.9215596809414164,1.442,1.971,10.015,0.966,Flooded Pothole,0.95,True
SC1900,Urban,Concrete,Foggy,Dusk,3.82,19,18,246,247.34,Extreme,19.72,0.72,0.24764871716341766,0.75,-18.25,0.56,0.44,0.3325448462405192,19.53,0.53,8.17,0.4867522559599717,0.3,0.10291545920799339,3.691,1.438,10.355,0.985,Flooded Pothole,0.95,True
SC1901,Rural,Asphalt,Mist,Night_Dark,10.86,16,10,90,93.43,Severe,16.07,0.07,0.472608466340615,5.83,-10.17,0.4,0.6,0.49123845184678905,16.13,0.13,16.71,0.6703200460356393,0.269,0.8062064300719725,5.447,0.271,10.591,0.969,Flooded Pothole,0.95,True
SC1902,Urban,Asphalt,Cloudy,Night_Dark,11.17,14,10,150,148.08,Severe,14.68,0.68,0.43303877731043433,14.31,0.31,0.4,0.6,0.49123845184678905,14.14,0.14,18.71,0.6703200460356393,0.28,0.8527425871066804,7.298,0.99,9.948,0.974,Flooded Pothole,0.95,True
SC1903,Urban,Asphalt,Mist,Dusk,11.49,14,11,181,183.65,Severe,13.75,-0.25,0.3891307008087584,14.02,0.02,0.42,0.58,0.4701388626627085,13.99,-0.01,17.28,0.6440364210831414,0.3,0.8135648406872167,4.028,2.956,9.328,0.974,Flooded Pothole,0.95,True
SC1904,Rural,Asphalt,Foggy,Night_Streetlights,11.92,5,4,206,206.58,Moderate,5.42,0.42,0.5323106667619375,4.95,-0.05,0.28,0.72,0.6259379294871402,5.01,0.01,23.36,0.8521437889662113,0.171,0.9471809634777065,3.416,-0.608,9.948,0.969,Flooded Pothole,0.95,True
SC1905,Rural,Gravel,Cloudy,Night_Dark,6.9,13,8,56,54.4,Moderate,13.91,0.91,0.5559705242920825,13.05,0.05,0.36,0.64,0.5345729353032141,13.0,0.0,23.24,0.7261490370736909,0.221,0.9017469164746976,6.305,4.503,9.744,0.961,Flooded Pothole,0.95,True
SC1906,Urban,Concrete,Mist,Daylight,11.96,14,4,137,130.2,Moderate,13.78,-0.22,0.6015052592787856,14.26,0.26,0.28,0.72,0.6259379294871402,14.01,0.01,24.84,0.8521437889662113,0.156,0.9491289005734016,-0.1,0.73,10.11,0.97,Flooded Pothole,0.95,True
SC1907,Urban,Gravel,Drizzle,Night_Streetlights,3.31,7,5,88,82.0,Moderate,7.44,0.44,0.6180412970818594,7.08,0.08,0.3,0.7,0.6024955834975404,6.82,-0.18,23.79,0.8187307530779818,0.166,0.9365850771748888,-1.178,0.842,9.629,0.979,Flooded Pothole,0.95,True
SC1908,Urban,Mud,Mist,Night_Dark,4.0,5,2,128,126.32,Low,5.27,0.27,0.66890582404252,2.66,-2.34,0.24,0.76,0.6740595319050396,5.18,0.18,28.97,0.9231163463866358,0.115,0.974272964741312,-0.653,-1.232,10.222,0.968,Shallow Puddle,0.9,True
SC1909,Rural,Dirt,Rainy,Dawn,5.36,13,11,216,214.18,Severe,13.26,0.26,0.3705792340593171,1.96,-11.04,0.42,0.58,0.4701388626627085,12.8,-0.2,16.13,0.6440364210831414,0.3,0.7735247713681832,2.641,2.482,9.181,0.965,Flooded Pothole,0.95,True
SC1910,Rural,Mud,Rainy,Dusk,4.62,9,5,304,302.65,Moderate,10.23,1.23,0.43420435137357966,9.14,0.14,0.3,0.7,0.6024955834975404,9.2,0.2,24.55,0.8187307530779818,0.211,0.9366073527930431,3.745,2.153,9.944,0.961,Flooded Pothole,0.95,True
SC1911,Rural,Concrete,Drizzle,Dusk,10.05,7,7,101,95.41,Moderate,7.3,0.3,0.5473559264267542,0.29,-6.71,0.34,0.66,0.5568187789536133,6.76,-0.24,22.55,0.7557837414557255,0.209,0.9114882105113989,2.363,2.258,10.235,0.976,Flooded Pothole,0.95,True
SC1912,Urban,Gravel,Clear,Daylight,3.77,8,3,9,20.61,Low,8.53,0.53,0.7535378725516414,5.42,-2.58,0.26,0.74,0.6497906188812154,8.57,0.57,25.32,0.8869204367171575,0.114,0.9616350386908681,4.051,0.672,9.857,0.974,Flooded Pothole,0.95,True
SC1913,Urban,Asphalt,Foggy,Daylight,9.23,7,1,102,105.98,Low,7.35,0.35,0.726462801225884,7.04,0.04,0.22,0.78,0.42381367787810986,7.17,0.17,27.99,0.9607894391523232,0.091,0.9863096826825911,2.629,0.296,9.696,0.971,Shallow Puddle,0.9,True
SC1914,Urban,Gravel,Cloudy,Night_Dark,8.13,19,10,77,76.06,Severe,19.42,0.42,0.4859274237892577,18.85,-0.15,0.4,0.6,0.49123845184678905,19.19,0.19,19.57,0.6703200460356393,0.265,0.8631801523691985,0.291,1.238,10.639,0.962,Flooded Pothole,0.95,True
SC1915,Urban,Asphalt,Cloudy,Dawn,2.04,10,1,73,73.23,Low,9.95,-0.05,0.765544449193941,9.87,-0.13,0.22,0.78,0.42381367787810986,9.97,-0.03,29.83,0.9607894391523232,0.085,0.9866088729853385,4.37,1.914,10.239,0.982,Shallow Puddle,0.9,True
SC1916,Urban,Concrete,Clear,Dawn,7.29,17,10,80,82.74,Severe,17.05,0.05,0.48076148742448654,16.87,-0.13,0.4,0.6,0.49123845184678905,17.14,0.14,16.92,0.6703200460356393,0.267,0.8132648781248438,5.515,1.819,9.912,0.979,Flooded Pothole,0.95,True
SC1917,Urban,Dirt,Mist,Night_Streetlights,9.32,10,7,116,116.3,Moderate,10.37,0.37,0.5293634669373314,3.09,-6.91,0.34,0.66,0.5568187789536133,10.17,0.17,19.71,0.7557837414557255,0.213,0.8970881547244794,4.894,2.929,9.357,0.954,Flooded Pothole,0.95,True
SC1918,Urban,Mud,Rainy,Daylight,11.74,5,0,165,155.44,Low,4.79,-0.21,0.7056019575414257,5.27,0.27,0.0,1.0,1.0,5.27,0.27,32.75,1.0,0.081,0.9986890498010049,-0.969,1.369,9.828,0.922,Dry,0.98,False
SC1919,Urban,Gravel,Foggy,Night_Dark,9.03,11,11,131,130.04,Severe,10.44,-0.56,0.4239821176471839,10.65,-0.35,0.42,0.58,0.4701388626627085,10.86,-0.14,16.5,0.6440364210831414,0.296,0.788579277619683,-0.099,1.784,9.559,0.966,Flooded Pothole,0.95,True
SC1920,Urban,Asphalt,Cloudy,Dusk,8.35,12,2,151,157.5,Moderate,12.52,0.52,0.636354169725087,10.07,-1.93,0.24,0.76,0.6740595319050396,11.87,-0.13,26.16,0.9231163463866358,0.122,0.9735362208991959,1.818,2.308,10.014,0.973,Shallow Puddle,0.9,True
SC1921,Rural,Mud,Foggy,Night_Streetlights,4.51,14,3,209,210.27,Moderate,14.53,0.53,0.5563086571528256,14.06,0.06,0.26,0.74,0.6497906188812154,13.82,-0.18,27.38,0.8869204367171575,0.152,0.9617812097066081,-3.25,3.575,9.113,0.957,Shallow Puddle,0.9,True
SC1922,Urban,Gravel,Foggy,Dawn,2.65,13,4,141,143.13,Moderate,12.78,-0.22,0.5891891555165455,8.76,-4.24,0.28,0.72,0.6259379294871402,13.12,0.12,24.85,0.8521437889662113,0.159,0.9490849209765588,1.083,0.906,10.402,0.978,Flooded Pothole,0.95,True
SC1923,Rural,Asphalt,Drizzle,Dawn,2.12,18,2,194,201.95,Moderate,18.39,0.39,0.5926685345038878,17.93,-0.07,0.24,0.76,0.6740595319050396,18.0,0.0,27.7,0.9231163463866358,0.13,0.973839608638132,-2.12,2.607,9.862,0.981,Shallow Puddle,0.9,True
SC1924,Rural,Asphalt,Foggy,Dusk,6.51,7,4,181,177.36,Moderate,6.82,-0.18,0.557788176878667,7.11,0.11,0.28,0.72,0.6259379294871402,7.64,0.64,27.47,0.8521437889662113,0.165,0.9501034840319053,1.073,0.865,10.314,0.976,Flooded Pothole,0.95,True
SC1925,Rural,Dirt,Rainy,Dusk,11.99,20,10,259,256.29,Extreme,21.49,1.49,0.36419567030273536,9.73,-10.27,0.4,0.6,0.49123845184678905,19.75,-0.25,15.36,0.6703200460356393,0.3,0.7435634540914468,0.234,1.769,9.146,0.925,Flooded Pothole,0.95,True
SC1926,Urban,Concrete,Foggy,Daylight,6.1,6,5,190,187.77,Moderate,6.02,0.02,0.5218203016915768,1.16,-4.84,0.3,0.7,0.6024955834975404,6.05,0.05,22.21,0.8187307530779818,0.188,0.9331200734628055,0.897,0.47,9.936,0.982,Flooded Pothole,0.95,True
SC1927,Rural,Dirt,Thunderstorm,Night_Streetlights,3.53,19,14,365,363.04,Extreme,19.12,0.12,0.2513612830640669,4.47,-14.53,0.48,0.52,0.40904648775460783,18.69,-0.31,12.04,0.5712090638488149,0.3,0.4246046514095722,6.374,1.489,9.982,0.972,Flooded Pothole,0.95,True
SC1928,Rural,Dirt,Clear,Daylight,3.49,15,12,80,87.17,Severe,15.51,0.51,0.43193852677303607,15.1,0.1,0.44,0.56,0.449410526858988,14.64,-0.36,17.39,0.6187833918061408,0.3,0.8067360317113476,4.542,0.695,10.61,0.973,Flooded Pothole,0.95,True
SC1929,Urban,Gravel,Rainy,Daylight,4.17,9,9,167,173.51,Moderate,8.26,-0.74,0.43709006793887767,0.0,-9.0,0.38,0.62,0.5127146630448847,9.11,0.11,20.17,0.697676326071031,0.265,0.8786574151087765,2.521,-0.165,9.424,0.979,Flooded Pothole,0.95,True
SC1930,Rural,Asphalt,Rainy,Daylight,2.22,13,5,170,166.61,Moderate,13.13,0.13,0.5397895163211713,12.91,-0.09,0.3,0.7,0.6024955834975404,13.02,0.02,25.8,0.8187307530779818,0.183,0.9379232917002772,0.843,2.723,10.568,0.982,Flooded Pothole,0.95,True
SC1931,Urban,Dirt,Drizzle,Night_Dark,6.87,13,3,128,124.14,Moderate,13.6,0.6,0.6385061318702869,12.88,-0.12,0.26,0.74,0.6497906188812154,12.87,-0.13,27.63,0.8869204367171575,0.135,0.9621251080966008,5.599,-1.176,9.696,0.956,Flooded Pothole,0.95,True
SC1932,Rural,Dirt,Rainy,Daylight,11.61,20,1,210,214.61,Moderate,20.49,0.49,0.6105616547189179,19.8,-0.2,0.22,0.78,0.42381367787810986,20.45,0.45,28.86,0.9607894391523232,0.113,0.9860572338808145,2.211,5.49,9.255,0.916,Shallow Puddle,0.9,True
SC1933,Rural,Asphalt,Mist,Night_Streetlights,7.19,14,2,110,104.63,Moderate,14.34,0.34,0.6925270363653044,13.89,-0.11,0.24,0.76,0.6740595319050396,14.25,0.25,29.92,0.9231163463866358,0.111,0.9744163131623246,8.207,2.068,9.777,0.971,Shallow Puddle,0.9,True
SC1934,Urban,Dirt,Rainy,Night_Streetlights,3.59,5,2,281,284.02,Moderate,5.86,0.86,0.5197371894867024,3.02,-1.98,0.24,0.76,0.6740595319050396,5.76,0.76,27.97,0.9231163463866358,0.147,0.9735933757695019,1.751,-0.371,10.091,0.972,Shallow Puddle,0.9,True
SC1935,Rural,Gravel,Foggy,Dawn,5.41,9,8,172,170.72,Moderate,8.44,-0.56,0.4615559487467308,8.99,-0.01,0.36,0.64,0.5345729353032141,9.18,0.18,21.82,0.7261490370736909,0.244,0.8979861560516812,0.109,1.683,10.085,0.97,Flooded Pothole,0.95,True
SC1936,Urban,Gravel,Drizzle,Night_Dark,6.47,20,2,84,86.52,Moderate,19.98,-0.02,0.7128872540740067,17.41,-2.59,0.24,0.76,0.6740595319050396,19.93,-0.07,27.14,0.9231163463866358,0.107,0.9741061059056312,12.107,3.328,10.001,0.962,Shallow Puddle,0.9,True
SC1937,Urban,Dirt,Cloudy,Dusk,9.87,12,5,171,169.44,Moderate,12.56,0.56,0.5373508746426066,7.6,-4.4,0.3,0.7,0.6024955834975404,12.02,0.02,23.67,0.8187307530779818,0.184,0.9361143313649823,4.822,0.108,9.371,0.947,Flooded Pothole,0.95,True
SC1938,Rural,Mud,Foggy,Dusk,9.82,11,2,182,180.7,Moderate,11.22,0.22,0.6131657426898347,10.88,-0.12,0.24,0.76,0.6740595319050396,11.02,0.02,28.28,0.9231163463866358,0.126,0.9740035388019247,0.55,-0.895,10.337,0.921,Shallow Puddle,0.9,True
SC1939,Urban,Mud,Mist,Night_Dark,7.63,12,3,142,143.05,Moderate,12.4,0.4,0.6194768174508386,12.07,0.07,0.26,0.74,0.6497906188812154,12.21,0.21,25.39,0.8869204367171575,0.139,0.9612560073563869,2.641,0.343,10.098,0.948,Shallow Puddle,0.9,True
SC1940,Rural,Asphalt,Foggy,Dawn,2.81,17,4,182,176.52,Moderate,16.73,-0.27,0.5585383481905918,13.13,-3.87,0.28,0.72,0.6259379294871402,16.96,-0.04,22.68,0.8521437889662113,0.165,0.9459821111426542,-0.172,0.822,9.583,0.98,Flooded Pothole,0.95,True
SC1941,Rural,Dirt,Foggy,Dusk,9.77,7,7,199,201.39,Moderate,6.54,-0.46,0.4619844714709587,0.04,-6.96,0.34,0.66,0.5568187789536133,7.05,0.05,22.93,0.7557837414557255,0.23,0.9119206766833468,2.901,1.268,9.678,0.948,Flooded Pothole,0.95,True
SC1942,Urban,Gravel,Drizzle,Dawn,8.33,20,7,137,145.91,Moderate,19.66,-0.34,0.5048691460580736,12.98,-7.02,0.34,0.66,0.5568187789536133,19.94,-0.06,22.25,0.7557837414557255,0.219,0.9105621677976506,10.581,4.741,9.414,0.959,Flooded Pothole,0.95,True
SC1943,Rural,Gravel,Thunderstorm,Night_Dark,9.84,20,17,287,288.08,Extreme,20.19,0.19,0.24391682328030376,19.93,-0.07,0.54,0.46,0.3511545673949525,20.18,0.18,10.29,0.5066169923655895,0.3,0.2420114790636269,0.027,6.834,9.239,0.954,Flooded Pothole,0.95,True
