scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,measurement_type,bottom_confidence,echo_ambiguity,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact,surface_sigma,bottom_sigma
SC2316,Rural,Asphalt,Cloudy,Night_Dark,11.14,15.0,15.0,95.0,85.68,Extreme,17.32,2.32,0.33,12.3,-2.7,0.465,0.447,Mixed,0.233,0.982,0.25,15.41,0.41,10.95,0.5488116360940265,0.3,0.506,4.152,-0.761,9.889,0.973,Flooded Pothole,0.95,True,0.51,0.263
SC2317,Rural,Gravel,Cloudy,Night_Dark,10.68,10.0,6.0,106.0,100.04,Moderate,10.0,0.0,0.563,8.8,-1.2,0.342,0.612,Mixed,0.457,0.73,0.322,10.47,0.47,21.8,0.7866278610665535,0.19,0.761,2.665,0.717,9.265,0.946,Flooded Pothole,0.95,True,0.402,0.195
SC2318,Rural,Concrete,Foggy,Night_Dark,10.6,16.0,3.0,157.0,154.08,Moderate,17.19,1.19,0.609,14.97,-1.03,0.263,0.711,Mixed,0.598,0.552,0.446,16.69,0.69,27.94,0.8869204367171575,0.141,0.873,6.952,-0.175,10.469,0.966,Shallow Puddle,0.9,True,0.366,0.172
SC2319,Urban,Mud,Foggy,Night_Streetlights,11.52,16.0,11.0,106.0,101.39,Severe,18.04,2.04,0.411,13.73,-2.27,0.426,0.503,Mixed,0.307,0.923,0.25,15.45,-0.55,14.69,0.6440364210831414,0.29,0.607,4.104,2.457,9.1,0.939,Flooded Pothole,0.95,True,0.462,0.232
SC2320,Rural,Dirt,Rainy,Night_Dark,5.2,15.0,0.0,276.0,259.75,Moderate,16.38,1.38,0.595,15.03,0.03,0.0,1.0,Bottom,1.0,0.0,1.0,14.86,-0.14,30.68,1.0,0.102,1.0,2.021,4.326,10.706,0.953,Dry,0.98,False,0.0,0.15
SC2321,Rural,Dirt,Thunderstorm,Dusk,5.07,12.0,0.0,299.0,299.95,Moderate,12.46,0.46,0.549,12.18,0.18,0.0,1.0,Bottom,1.0,0.0,1.0,11.95,-0.05,28.68,1.0,0.11,1.0,-1.588,2.617,10.52,0.954,Dry,0.98,False,0.0,0.15
SC2322,Urban,Mud,Mist,Night_Dark,6.81,7.0,1.0,196.0,200.14,Low,7.47,0.47,0.63,6.45,-0.55,0.192,0.798,Surface,0.728,0.394,0.585,6.93,-0.07,27.45,0.9607894391523232,0.11,0.956,1.216,1.037,10.353,0.951,Shallow Puddle,0.9,True,0.342,0.158
SC2323,Urban,Dirt,Clear,Daylight,9.93,15.0,7.0,34.0,36.09,Moderate,14.81,-0.19,0.601,15.07,0.07,0.363,0.585,Bottom,0.42,0.778,0.365,14.93,-0.07,24.44,0.7557837414557255,0.197,0.727,0.801,1.918,9.184,0.947,Flooded Pothole,0.95,True,0.414,0.203
SC2324,Rural,Asphalt,Cloudy,Night_Streetlights,4.94,14.0,1.0,133.0,130.97,Low,13.63,-0.37,0.723,13.81,-0.19,0.192,0.798,Surface,0.728,0.394,0.611,13.91,-0.09,29.66,0.9607894391523232,0.096,0.956,0.976,2.747,9.953,0.975,Shallow Puddle,0.9,True,0.342,0.158
SC2325,Rural,Asphalt,Thunderstorm,Dusk,9.29,11.0,1.0,305.0,309.69,Moderate,11.99,0.99,0.506,10.52,-0.48,0.192,0.798,Mixed,0.728,0.394,0.616,10.9,-0.1,30.6,0.9607894391523232,0.132,0.956,-3.16,1.258,9.524,0.966,Shallow Puddle,0.9,True,0.342,0.158
SC2326,Urban,Gravel,Thunderstorm,Night_Streetlights,4.38,20.0,16.0,274.0,271.25,Extreme,20.81,0.81,0.214,12.4,-7.6,0.472,0.436,Surface,0.218,0.963,0.25,20.79,0.79,7.82,0.5272924240430485,0.3,0.483,2.789,4.094,9.271,0.976,Flooded Pothole,0.95,True,0.522,0.27
SC2327,Rural,Dirt,Thunderstorm,Dusk,8.21,6.0,0.0,495.0,496.39,Moderate,4.97,-1.03,0.371,6.16,0.16,0.0,1.0,Bottom,1.0,0.0,1.0,5.71,-0.29,29.47,1.0,0.149,1.0,-1.147,1.795,9.514,0.935,Dry,0.98,False,0.0,0.15
SC2328,Urban,Concrete,Drizzle,Dawn,3.77,6.0,6.0,170.0,171.81,Moderate,6.15,0.15,0.487,3.11,-2.89,0.342,0.612,Surface,0.457,0.73,0.25,6.32,0.32,23.59,0.7866278610665535,0.204,0.761,-0.138,1.716,9.647,0.986,Flooded Pothole,0.95,True,0.402,0.195
SC2329,Urban,Dirt,Mist,Night_Dark,8.05,20.0,17.0,87.0,93.8,Extreme,21.26,1.26,0.286,16.83,-3.17,0.479,0.425,Mixed,0.204,0.947,0.25,20.46,0.46,11.68,0.5066169923655895,0.3,0.462,6.344,0.451,9.158,0.961,Flooded Pothole,0.95,True,0.534,0.278
SC2330,Rural,Concrete,Clear,Dusk,10.45,16.0,4.0,30.0,26.9,Moderate,14.93,-1.07,0.738,16.06,0.06,0.293,0.674,Bottom,0.545,0.618,0.48,15.96,-0.04,25.99,0.8521437889662113,0.135,0.834,5.452,0.821,9.73,0.967,Flooded Pothole,0.95,True,0.378,0.18
SC2331,Rural,Mud,Rainy,Daylight,10.09,9.0,5.0,262.0,266.38,Moderate,9.96,0.96,0.429,7.72,-1.28,0.319,0.641,Mixed,0.498,0.678,0.35,9.47,0.47,24.56,0.8187307530779818,0.203,0.797,2.414,1.829,9.965,0.929,Flooded Pothole,0.95,True,0.39,0.188
SC2332,Rural,Dirt,Clear,Dusk,6.42,18.0,14.0,68.0,69.84,Severe,18.6,0.6,0.363,11.39,-6.61,0.457,0.459,Surface,0.249,0.998,0.25,17.94,-0.06,13.14,0.5712090638488149,0.3,0.529,4.169,0.397,10.725,0.959,Flooded Pothole,0.95,True,0.498,0.255
SC2333,Urban,Gravel,Cloudy,Night_Streetlights,7.41,15.0,10.0,121.0,127.41,Severe,15.25,0.25,0.415,9.21,-5.79,0.413,0.521,Surface,0.331,0.892,0.25,14.82,-0.18,16.17,0.6703200460356393,0.275,0.635,2.414,1.114,9.338,0.966,Flooded Pothole,0.95,True,0.45,0.225
SC2334,Rural,Gravel,Drizzle,Dusk,3.29,14.0,2.0,208.0,203.83,Moderate,14.36,0.36,0.587,13.3,-0.7,0.23,0.752,Surface,0.659,0.478,0.501,14.57,0.57,27.75,0.9231163463866358,0.131,0.913,-0.936,3.857,9.331,0.971,Shallow Puddle,0.9,True,0.354,0.165
SC2335,Urban,Mud,Clear,Night_Streetlights,11.33,15.0,0.0,17.0,20.48,Low,14.23,-0.77,0.96,15.02,0.02,0.0,1.0,Bottom,1.0,0.0,1.0,15.47,0.47,29.78,1.0,0.054,1.0,3.725,3.682,9.343,0.925,Dry,0.98,False,0.0,0.15
SC2336,Urban,Asphalt,Clear,Daylight,4.3,14.0,5.0,81.0,81.15,Moderate,13.33,-0.67,0.622,11.69,-2.31,0.319,0.641,Surface,0.498,0.678,0.293,14.09,0.09,22.78,0.8187307530779818,0.166,0.797,-1.677,1.566,10.126,0.98,Flooded Pothole,0.95,True,0.39,0.188
SC2337,Urban,Concrete,Cloudy,Daylight,2.69,8.0,5.0,131.0,127.13,Moderate,8.22,0.22,0.567,5.02,-2.98,0.319,0.641,Surface,0.498,0.678,0.27,7.62,-0.38,23.27,0.8187307530779818,0.175,0.797,4.034,1.788,10.368,0.985,Flooded Pothole,0.95,True,0.39,0.188
SC2338,Rural,Asphalt,Drizzle,Night_Streetlights,8.33,6.0,4.0,132.0,140.98,Moderate,6.32,0.32,0.587,6.47,0.47,0.293,0.674,Bottom,0.545,0.618,0.457,5.88,-0.12,24.6,0.8521437889662113,0.158,0.834,0.934,0.122,9.773,0.974,Flooded Pothole,0.95,True,0.378,0.18
SC2339,Urban,Dirt,Mist,Dawn,10.51,14.0,4.0,116.0,120.29,Moderate,14.54,0.54,0.612,14.29,0.29,0.293,0.674,Bottom,0.545,0.618,0.467,13.93,-0.07,27.02,0.8521437889662113,0.154,0.834,2.477,5.397,10.54,0.941,Flooded Pothole,0.95,True,0.378,0.18
SC2340,Rural,Mud,Rainy,Night_Dark,11.63,20.0,4.0,247.0,241.84,Moderate,19.97,-0.03,0.48,17.61,-2.39,0.293,0.674,Surface,0.545,0.618,0.323,19.9,-0.1,25.14,0.8521437889662113,0.178,0.834,-0.752,1.553,8.978,0.91,Flooded Pothole,0.95,True,0.378,0.18
SC2341,Rural,Concrete,Rainy,Night_Streetlights,3.5,14.0,10.0,225.0,227.53,Severe,14.78,0.78,0.34,12.22,-1.78,0.413,0.521,Mixed,0.331,0.892,0.25,13.91,-0.09,18.04,0.6703200460356393,0.296,0.635,6.632,3.234,10.318,0.983,Flooded Pothole,0.95,True,0.45,0.225
SC2342,Urban,Asphalt,Drizzle,Night_Dark,4.09,10.0,5.0,153.0,154.25,Moderate,10.0,0.0,0.537,9.87,-0.13,0.319,0.641,Bottom,0.498,0.678,0.431,10.12,0.12,24.27,0.8187307530779818,0.181,0.797,-2.437,0.556,9.453,0.981,Flooded Pothole,0.95,True,0.39,0.188
SC2343,Urban,Asphalt,Thunderstorm,Daylight,10.36,8.0,2.0,298.0,303.01,Moderate,8.03,0.03,0.481,7.99,-0.01,0.23,0.752,Bottom,0.659,0.478,0.606,7.96,-0.04,28.71,0.9231163463866358,0.151,0.913,2.53,-0.544,10.388,0.97,Shallow Puddle,0.9,True,0.354,0.165
SC2344,Urban,Concrete,Foggy,Daylight,8.24,5.0,5.0,178.0,167.65,Moderate,5.12,0.12,0.523,5.03,0.03,0.319,0.641,Bottom,0.498,0.678,0.436,5.01,0.01,23.06,0.8187307530779818,0.184,0.797,0.382,0.361,9.593,0.981,Flooded Pothole,0.95,True,0.39,0.188
SC2345,Rural,Asphalt,Mist,Dawn,4.62,7.0,3.0,133.0,129.35,Low,6.83,-0.17,0.64,5.06,-1.94,0.263,0.711,Surface,0.598,0.552,0.382,7.15,0.15,29.05,0.8869204367171575,0.136,0.873,-2.108,2.537,10.032,0.978,Flooded Pothole,0.95,True,0.366,0.172
SC2346,Urban,Concrete,Mist,Night_Dark,7.33,19.0,11.0,83.0,87.8,Severe,17.91,-1.09,0.422,19.52,0.52,0.426,0.503,Bottom,0.307,0.923,0.264,19.07,0.07,14.56,0.6440364210831414,0.288,0.607,-0.209,2.267,9.828,0.979,Flooded Pothole,0.95,True,0.462,0.232
SC2347,Rural,Dirt,Foggy,Dawn,11.0,19.0,5.0,146.0,151.79,Moderate,19.61,0.61,0.54,18.44,-0.56,0.319,0.641,Mixed,0.498,0.678,0.381,19.71,0.71,25.65,0.8187307530779818,0.18,0.797,-1.136,1.617,9.493,0.925,Flooded Pothole,0.95,True,0.39,0.188
SC2348,Rural,Dirt,Drizzle,Dusk,3.36,16.0,8.0,203.0,198.79,Severe,16.7,0.7,0.408,16.39,0.39,0.382,0.562,Bottom,0.387,0.82,0.325,16.1,0.1,18.32,0.7261490370736909,0.25,0.695,-0.248,0.605,9.325,0.97,Flooded Pothole,0.95,True,0.426,0.21
SC2349,Urban,Concrete,Drizzle,Daylight,11.0,7.0,7.0,177.0,176.39,Moderate,7.34,0.34,0.454,7.3,0.3,0.363,0.585,Bottom,0.42,0.778,0.355,7.17,0.17,21.55,0.7557837414557255,0.225,0.727,2.936,0.264,9.66,0.978,Flooded Pothole,0.95,True,0.414,0.203
SC2350,Urban,Mud,Mist,Dawn,10.69,17.0,1.0,150.0,151.12,Moderate,17.7,0.7,0.694,17.05,0.05,0.192,0.798,Bottom,0.728,0.394,0.688,17.37,0.37,29.3,0.9607894391523232,0.1,0.956,2.013,2.022,9.36,0.929,Shallow Puddle,0.9,True,0.342,0.158
SC2351,Urban,Dirt,Mist,Night_Streetlights,8.87,10.0,1.0,138.0,144.42,Low,10.03,0.03,0.704,9.75,-0.25,0.192,0.798,Bottom,0.728,0.394,0.671,10.1,0.1,27.94,0.9607894391523232,0.099,0.956,1.222,1.691,9.682,0.945,Shallow Puddle,0.9,True,0.342,0.158
SC2352,Rural,Concrete,Thunderstorm,Daylight,3.82,10.0,0.0,333.0,335.18,Moderate,10.09,0.09,0.512,9.97,-0.03,0.0,1.0,Bottom,1.0,0.0,1.0,9.98,-0.02,28.7,1.0,0.117,1.0,4.504,0.581,9.942,0.978,Dry,0.98,False,0.0,0.15
SC2353,Urban,Concrete,Mist,Night_Streetlights,6.27,10.0,1.0,173.0,172.92,Low,9.7,-0.3,0.665,9.6,-0.4,0.192,0.798,Mixed,0.728,0.394,0.622,10.13,0.13,28.61,0.9607894391523232,0.105,0.956,0.636,1.038,9.64,0.976,Shallow Puddle,0.9,True,0.342,0.158
SC2354,Urban,Gravel,Mist,Dusk,3.44,12.0,8.0,150.0,155.12,Moderate,13.31,1.31,0.445,10.88,-1.12,0.382,0.562,Mixed,0.387,0.82,0.275,12.18,0.18,20.53,0.7261490370736909,0.241,0.695,5.62,1.012,9.327,0.978,Flooded Pothole,0.95,True,0.426,0.21
SC2355,Rural,Concrete,Mist,Dusk,10.56,12.0,12.0,153.0,157.92,Severe,12.84,0.84,0.344,5.89,-6.11,0.437,0.487,Surface,0.286,0.95,0.25,12.41,0.41,14.89,0.6187833918061408,0.3,0.58,0.803,1.45,9.808,0.975,Flooded Pothole,0.95,True,0.474,0.24
SC2356,Urban,Mud,Drizzle,Night_Dark,3.22,14.0,4.0,186.0,186.83,Moderate,14.72,0.72,0.536,12.13,-1.87,0.293,0.674,Surface,0.545,0.618,0.343,14.7,0.7,24.98,0.8521437889662113,0.167,0.834,5.387,1.761,9.067,0.971,Flooded Pothole,0.95,True,0.378,0.18
SC2357,Rural,Dirt,Cloudy,Daylight,11.42,17.0,9.0,113.0,107.42,Severe,18.07,1.07,0.46,12.17,-4.83,0.398,0.54,Surface,0.358,0.858,0.25,16.62,-0.38,20.06,0.697676326071031,0.251,0.664,3.727,1.08,9.96,0.929,Flooded Pothole,0.95,True,0.438,0.217
SC2358,Rural,Mud,Drizzle,Dusk,3.8,20.0,19.0,109.0,100.89,Extreme,19.55,-0.45,0.249,17.04,-2.96,0.489,0.407,Mixed,0.18,0.917,0.25,19.96,-0.04,5.89,0.46766642700990924,0.3,0.422,5.533,1.269,10.428,0.97,Flooded Pothole,0.95,True,0.558,0.293
SC2359,Rural,Dirt,Clear,Daylight,3.62,10.0,7.0,8.0,5.26,Moderate,10.26,0.26,0.639,10.19,0.19,0.363,0.585,Bottom,0.42,0.778,0.36,10.32,0.32,22.37,0.7557837414557255,0.191,0.727,2.642,2.055,9.988,0.971,Flooded Pothole,0.95,True,0.414,0.203
SC2360,Urban,Gravel,Mist,Night_Dark,6.98,19.0,16.0,196.0,199.96,Extreme,21.05,2.05,0.247,10.88,-8.12,0.472,0.436,Surface,0.218,0.963,0.25,18.43,-0.57,15.51,0.5272924240430485,0.3,0.483,6.599,3.435,10.057,0.97,Flooded Pothole,0.95,True,0.522,0.27
SC2361,Urban,Asphalt,Rainy,Dusk,11.46,9.0,9.0,262.0,261.25,Severe,10.31,1.31,0.338,9.56,0.56,0.398,0.54,Bottom,0.358,0.858,0.297,9.45,0.45,19.11,0.697676326071031,0.282,0.664,1.333,0.127,9.96,0.976,Flooded Pothole,0.95,True,0.438,0.217
SC2362,Urban,Mud,Cloudy,Daylight,3.35,5.0,5.0,75.0,69.95,Moderate,5.02,0.02,0.636,4.03,-0.97,0.319,0.641,Mixed,0.498,0.678,0.363,4.99,-0.01,23.57,0.8187307530779818,0.164,0.797,0.44,0.0,9.539,0.977,Flooded Pothole,0.95,True,0.39,0.188
SC2363,Rural,Gravel,Mist,Dawn,10.83,11.0,2.0,84.0,86.64,Low,11.29,0.29,0.742,11.06,0.06,0.23,0.752,Bottom,0.659,0.478,0.603,11.33,0.33,25.6,0.9231163463866358,0.107,0.913,4.471,1.27,9.193,0.937,Shallow Puddle,0.9,True,0.354,0.165
SC2364,Rural,Gravel,Foggy,Night_Streetlights,8.93,19.0,11.0,153.0,152.57,Severe,20.92,1.92,0.371,14.01,-4.99,0.426,0.503,Surface,0.307,0.923,0.25,19.05,0.05,16.8,0.6440364210831414,0.3,0.607,5.422,0.925,10.166,0.952,Flooded Pothole,0.95,True,0.462,0.232
SC2365,Rural,Gravel,Cloudy,Daylight,4.02,17.0,1.0,60.0,56.26,Low,16.98,-0.02,0.839,16.32,-0.68,0.192,0.798,Surface,0.728,0.394,0.576,16.91,-0.09,26.89,0.9607894391523232,0.081,0.956,2.478,-0.346,9.644,0.966,Shallow Puddle,0.9,True,0.342,0.158
SC2366,Rural,Gravel,Cloudy,Night_Streetlights,6.6,7.0,5.0,78.0,77.79,Moderate,7.95,0.95,0.626,7.09,0.09,0.319,0.641,Bottom,0.498,0.678,0.433,7.12,0.12,23.76,0.8187307530779818,0.166,0.797,3.992,2.29,9.613,0.963,Flooded Pothole,0.95,True,0.39,0.188
SC2367,Urban,Gravel,Cloudy,Night_Dark,8.43,7.0,0.0,88.0,97.34,Low,7.0,0.0,0.823,7.11,0.11,0.0,1.0,Bottom,1.0,0.0,1.0,6.91,-0.09,30.75,1.0,0.069,1.0,2.109,0.439,9.534,0.954,Dry,0.98,False,0.0,0.15
SC2368,Rural,Concrete,Mist,Dawn,6.78,7.0,4.0,105.0,106.38,Moderate,7.04,0.04,0.63,6.17,-0.83,0.293,0.674,Mixed,0.545,0.618,0.409,7.1,0.1,25.01,0.8521437889662113,0.151,0.834,2.34,-0.212,10.109,0.977,Flooded Pothole,0.95,True,0.378,0.18
SC2369,Urban,Mud,Clear,Night_Dark,6.16,11.0,0.0,73.0,74.44,Low,10.99,-0.01,0.862,11.01,0.01,0.0,1.0,Bottom,1.0,0.0,1.0,10.98,-0.02,30.03,1.0,0.065,1.0,4.387,1.242,10.44,0.952,Dry,0.98,False,0.0,0.15
SC2370,Urban,Dirt,Cloudy,Night_Dark,3.45,20.0,2.0,79.0,92.49,Moderate,20.16,0.16,0.733,19.08,-0.92,0.23,0.752,Surface,0.659,0.478,0.488,19.96,-0.04,29.54,0.9231163463866358,0.108,0.913,5.393,3.523,10.771,0.97,Shallow Puddle,0.9,True,0.354,0.165
SC2371,Urban,Asphalt,Mist,Daylight,3.18,8.0,3.0,100.0,98.54,Low,8.55,0.55,0.681,7.91,-0.09,0.263,0.711,Bottom,0.598,0.552,0.533,8.05,0.05,24.74,0.8869204367171575,0.13,0.873,3.745,3.057,9.698,0.982,Flooded Pothole,0.95,True,0.366,0.172
SC2372,Rural,Dirt,Rainy,Daylight,9.71,6.0,0.0,275.0,277.68,Low,5.18,-0.82,0.574,5.95,-0.05,0.0,1.0,Bottom,1.0,0.0,1.0,5.78,-0.22,34.24,1.0,0.106,1.0,-0.457,-0.346,10.028,0.926,Dry,0.98,False,0.0,0.15
SC2373,Urban,Asphalt,Clear,Night_Streetlights,11.13,17.0,3.0,16.0,7.73,Moderate,17.05,0.05,0.816,17.03,0.03,0.263,0.711,Mixed,0.598,0.552,0.503,16.96,-0.04,28.43,0.8869204367171575,0.112,0.873,7.138,2.674,9.544,0.968,Flooded Pothole,0.95,True,0.366,0.172
SC2374,Urban,Asphalt,Foggy,Dawn,8.62,19.0,4.0,187.0,191.57,Moderate,19.21,0.21,0.531,17.78,-1.22,0.293,0.674,Mixed,0.545,0.618,0.39,19.22,0.22,27.17,0.8521437889662113,0.168,0.834,8.487,4.856,10.326,0.972,Flooded Pothole,0.95,True,0.378,0.18
SC2375,Rural,Mud,Cloudy,Daylight,7.72,11.0,0.0,125.0,120.58,Low,10.93,-0.07,0.786,10.98,-0.02,0.0,1.0,Bottom,1.0,0.0,1.0,11.0,0.0,30.1,1.0,0.074,1.0,1.452,3.006,10.575,0.931,Dry,0.98,False,0.0,0.15
SC2376,Rural,Dirt,Drizzle,Daylight,6.55,5.0,5.0,125.0,129.73,Moderate,4.66,-0.34,0.564,1.97,-3.03,0.319,0.641,Surface,0.498,0.678,0.269,4.92,-0.08,22.11,0.8187307530779818,0.176,0.797,1.947,0.3,10.016,0.962,Flooded Pothole,0.95,True,0.39,0.188
SC2377,Urban,Gravel,Cloudy,Dusk,4.84,10.0,1.0,73.0,70.57,Low,9.88,-0.12,0.816,10.17,0.17,0.192,0.798,Bottom,0.728,0.394,0.678,10.14,0.14,30.03,0.9607894391523232,0.084,0.956,-1.726,1.206,10.08,0.968,Shallow Puddle,0.9,True,0.342,0.158
SC2378,Rural,Mud,Mist,Night_Dark,2.09,9.0,5.0,190.0,194.73,Moderate,8.6,-0.4,0.496,8.96,-0.04,0.319,0.641,Bottom,0.498,0.678,0.436,9.46,0.46,24.2,0.8187307530779818,0.189,0.797,-2.122,2.361,9.865,0.975,Flooded Pothole,0.95,True,0.39,0.188
SC2379,Urban,Gravel,Cloudy,Night_Dark,2.17,14.0,6.0,82.0,88.56,Moderate,13.49,-0.51,0.576,13.95,-0.05,0.342,0.612,Bottom,0.457,0.73,0.398,14.02,0.02,23.91,0.7866278610665535,0.188,0.761,-0.651,1.292,10.613,0.98,Flooded Pothole,0.95,True,0.402,0.195
SC2380,Urban,Mud,Mist,Dusk,9.91,16.0,12.0,187.0,185.93,Severe,16.82,0.82,0.326,13.77,-2.23,0.437,0.487,Mixed,0.286,0.95,0.25,16.45,0.45,14.11,0.6187833918061408,0.3,0.58,4.575,5.07,9.901,0.947,Flooded Pothole,0.95,True,0.474,0.24
SC2381,Urban,Asphalt,Mist,Night_Dark,8.95,16.0,4.0,179.0,185.11,Moderate,16.1,0.1,0.538,15.91,-0.09,0.293,0.674,Bottom,0.545,0.618,0.479,16.0,0.0,24.59,0.8521437889662113,0.167,0.834,7.213,1.96,10.443,0.972,Flooded Pothole,0.95,True,0.378,0.18
SC2382,Urban,Dirt,Thunderstorm,Dawn,3.42,12.0,7.0,280.0,273.44,Severe,10.44,-1.56,0.374,7.98,-4.02,0.363,0.585,Surface,0.42,0.778,0.25,12.0,0.0,20.85,0.7557837414557255,0.245,0.727,-1.903,3.371,10.44,0.974,Flooded Pothole,0.95,True,0.414,0.203
SC2383,Rural,Concrete,Drizzle,Night_Dark,5.07,15.0,11.0,179.0,180.01,Severe,16.22,1.22,0.351,9.68,-5.32,0.426,0.503,Surface,0.307,0.923,0.25,15.48,0.48,16.46,0.6440364210831414,0.3,0.607,6.433,3.393,10.029,0.981,Flooded Pothole,0.95,True,0.462,0.232
SC2384,Urban,Concrete,Thunderstorm,Dawn,9.43,13.0,1.0,477.0,475.99,Moderate,11.37,-1.63,0.363,12.7,-0.3,0.192,0.798,Bottom,0.728,0.394,0.667,13.39,0.39,27.39,0.9607894391523232,0.165,0.956,2.078,2.39,9.257,0.972,Shallow Puddle,0.9,True,0.342,0.158
SC2385,Urban,Concrete,Cloudy,Night_Streetlights,5.62,6.0,3.0,81.0,88.93,Low,6.06,0.06,0.694,4.52,-1.48,0.263,0.711,Surface,0.598,0.552,0.403,6.03,0.03,27.38,0.8869204367171575,0.128,0.873,1.667,1.835,10.114,0.98,Shallow Puddle,0.9,True,0.366,0.172
SC2386,Rural,Concrete,Cloudy,Night_Dark,3.66,20.0,8.0,65.0,68.32,Moderate,20.61,0.61,0.529,17.68,-2.32,0.382,0.562,Mixed,0.387,0.82,0.25,20.66,0.66,22.82,0.7261490370736909,0.224,0.695,8.214,3.372,10.387,0.981,Flooded Pothole,0.95,True,0.426,0.21
SC2387,Urban,Mud,Rainy,Dawn,2.22,18.0,13.0,271.0,272.53,Extreme,17.22,-0.78,0.257,10.79,-7.21,0.448,0.473,Surface,0.267,0.975,0.25,17.49,-0.51,13.89,0.5945205479701944,0.3,0.554,2.694,-0.018,10.289,0.979,Flooded Pothole,0.95,True,0.486,0.247
SC2388,Urban,Concrete,Cloudy,Dusk,4.61,8.0,5.0,131.0,129.88,Moderate,8.05,0.05,0.564,8.18,0.18,0.319,0.641,Bottom,0.498,0.678,0.428,7.57,-0.43,24.02,0.8187307530779818,0.176,0.797,3.288,0.763,9.959,0.982,Flooded Pothole,0.95,True,0.39,0.188
SC2389,Urban,Concrete,Cloudy,Dusk,3.25,6.0,1.0,65.0,53.85,Low,6.28,0.28,0.843,5.22,-0.78,0.192,0.798,Surface,0.728,0.394,0.569,5.9,-0.1,27.94,0.9607894391523232,0.081,0.956,-1.172,0.339,9.4,0.981,Shallow Puddle,0.9,True,0.342,0.158
SC2390,Rural,Mud,Rainy,Night_Streetlights,10.93,19.0,11.0,228.0,233.95,Extreme,19.46,0.46,0.315,13.66,-5.34,0.426,0.503,Surface,0.307,0.923,0.25,18.98,-0.02,17.93,0.6440364210831414,0.3,0.607,6.305,5.425,10.574,0.925,Flooded Pothole,0.95,True,0.462,0.232
SC2391,Urban,Gravel,Drizzle,Night_Streetlights,6.25,16.0,11.0,152.0,155.42,Severe,15.11,-0.89,0.368,16.13,0.13,0.426,0.503,Bottom,0.307,0.923,0.276,16.22,0.22,14.52,0.6440364210831414,0.3,0.607,3.21,2.529,10.032,0.97,Flooded Pothole,0.95,True,0.462,0.232
SC2392,Urban,Concrete,Drizzle,Night_Streetlights,6.62,8.0,2.0,144.0,147.01,Low,9.0,1.0,0.658,8.01,0.01,0.23,0.752,Bottom,0.659,0.478,0.606,8.44,0.44,30.33,0.9231163463866358,0.119,0.913,2.16,0.24,9.993,0.977,Shallow Puddle,0.9,True,0.354,0.165
SC2393,Urban,Asphalt,Clear,Night_Dark,9.97,6.0,6.0,15.0,15.96,Moderate,5.98,-0.02,0.666,2.59,-3.41,0.342,0.612,Surface,0.457,0.73,0.25,5.9,-0.1,22.27,0.7866278610665535,0.173,0.761,1.039,2.514,9.637,0.978,Flooded Pothole,0.95,True,0.402,0.195
SC2394,Urban,Mud,Clear,Daylight,7.54,5.0,5.0,52.0,49.56,Low,4.79,-0.21,0.663,3.11,-1.89,0.319,0.641,Surface,0.498,0.678,0.308,5.51,0.51,24.95,0.8187307530779818,0.16,0.797,2.308,1.011,10.025,0.961,Flooded Pothole,0.95,True,0.39,0.188
SC2395,Rural,Asphalt,Rainy,Dusk,6.24,7.0,7.0,161.0,160.71,Moderate,6.97,-0.03,0.468,5.66,-1.34,0.363,0.585,Mixed,0.42,0.778,0.29,6.68,-0.32,20.9,0.7557837414557255,0.222,0.727,3.65,2.366,9.742,0.98,Flooded Pothole,0.95,True,0.414,0.203
SC2396,Urban,Asphalt,Foggy,Dawn,3.48,16.0,14.0,127.0,121.27,Extreme,15.69,-0.31,0.327,9.2,-6.8,0.457,0.459,Surface,0.249,0.998,0.25,16.47,0.47,12.39,0.5712090638488149,0.3,0.529,-0.927,3.715,9.656,0.985,Flooded Pothole,0.95,True,0.498,0.255
SC2397,Urban,Asphalt,Drizzle,Dawn,7.08,19.0,2.0,130.0,133.87,Moderate,19.18,0.18,0.675,19.14,0.14,0.23,0.752,Bottom,0.659,0.478,0.597,18.85,-0.15,25.02,0.9231163463866358,0.117,0.913,10.222,0.492,9.173,0.974,Shallow Puddle,0.9,True,0.354,0.165
SC2398,Rural,Dirt,Clear,Daylight,4.29,6.0,3.0,91.0,92.56,Low,5.8,-0.2,0.689,5.86,-0.14,0.263,0.711,Bottom,0.598,0.552,0.53,6.02,0.02,28.66,0.8869204367171575,0.129,0.873,-0.002,2.428,9.296,0.965,Flooded Pothole,0.95,True,0.366,0.172
SC2399,Urban,Asphalt,Thunderstorm,Dusk,4.76,16.0,16.0,494.0,491.96,Extreme,18.22,2.22,0.138,16.48,0.48,0.472,0.436,Bottom,0.218,0.963,0.25,16.26,0.26,9.16,0.5272924240430485,0.3,0.483,2.617,2.62,10.285,0.984,Flooded Pothole,0.95,True,0.522,0.27
